symbol,type,issuer,conversion,listed_shares,ipo_price,strike,ipo_date,first_trading,last_trading,maturity
CFPT1901,C,VNDS,2,2000000,1900,45000,2019-06-12,2019-06-28,2019-09-09,2019-09-11
CHPG1901,C,MBS,2,2000000,1200,22900,2019-06-10,2019-06-28,2019-09-06,2019-09-10
CHPG1902,C,KIS,5,3000000,1000,41999,2019-06-12,2019-06-28,2019-12-09,2019-11-11
CHPG1903,C,VPS,2,1500000,1500,23200,2019-06-12,2019-06-28,2019-09-10,2019-09-12
CMBB1901,C,SSI,1,3000000,1900,20600,2019-06-13,2019-06-28,2019-09-12,2019-09-16
CMBB1902,C,HSC,1,1000000,3200,21800,2019-06-17,2019-06-28,2019-12-13,2019-12-17
CMWG1901,C,BSC,4,1000000,2000,88300,2019-06-10,2019-06-28,2019-09-05,2019-09-09
CMWG1902,C,VNDS,4,2400000,2900,90000,2019-06-12,2019-06-28,2019-12-09,2019-12-11
CPNJ1901,C,MBS,5,1000000,1700,78800,2019-06-10,2019-06-28,2019-06-09,2019-09-10
CVNM1901,C,KIS,10,5000000,1200,158888,2019-06-14,2019-06-28,2019-12-11,2019-12-13
CMWG1904,C,SSI,1,1000000,14000,90000,2019-06-26,2019-07-12,2019-12-26,2019-12-30
CHPG1905,C,SSI,1,1000000,3300,23100,2019-06-26,2019-07-12,2019-12-26,2019-12-30
CFPT1902,C,SSI,1,1000000,3800,46000,2019-06-26,2019-07-12,2019-09-26,2019-09-30
CHPG1904,C,SSI,1,1000000,2200,23100,2019-06-26,2019-07-12,2019-09-26,2019-09-30
CFPT1903,C,SSI,1,1000000,6000,46000,2019-06-26,2019-07-12,2019-12-26,2019-12-30
CMWG1903,C,HSC,5,2000000,2700,95000,2019-06-26,2019-07-12,2019-12-24,2019-12-28
