Date;Symbol;ISIN;FIGI;Ceiling;Floor;Last;Opening;Closing;Change;Change(%);Low;High;Avg;Vol;Value
2019-07-25;CFPT1901;VN0CFPT19013; ;5,00;1,60;3,30;3,30;3,35;0,05;1,52;3,26;3,40;3,34;5.940,00;198,63
2019-07-25;CFPT1902;VN0CFPT19021; ;8,57;1,77;5,17;5,07;5,06;-0,11;-2,13;5,03;5,20;5,07;4.734,00;239,99
2019-07-25;CFPT1903;VN0CFPT19039; ;10,70;3,90;7,30;7,32;7,31;0,01;0,14;7,20;7,45;7,33;2.524,00;184,91
2019-07-25;CHPG1901;VN0CHPG19016; ;1,80;0,30;1,05;0,95;1,14;0,09;8,57;0,95;1,15;1,11;7.060,00;78,50
2019-07-25;CHPG1902;VN0CHPG19024; ;0,82;0,22;0,52;0,51;0,56;0,04;7,69;0,51;0,57;0,54;47.149,00;254,54
2019-07-25;CHPG1903;VN0CHPG19032; ;1,55;0,05;0,80;0,72;0,90;0,10;12,50;0,72;1,40;0,90;4.444,00;40,01
2019-07-25;CHPG1904;VN0CHPG19040; ;3,24;0,24;1,74;1,72;1,93;0,19;10,92;1,72;1,96;1,86;2.002,00;37,33
2019-07-25;CHPG1905▲;VN0CHPG19057; ;4,35;1,35;2,85;3,29;3,05;0,20;7,02;2,89;3,29;3,09;9.652,00;298,56
2019-07-25;CMBB1901▼;VN0CMBB19017; ;4,50;1,40;2,95;3,00;2,88;-0,07;-2,37;2,87;3,00;2,92;10.408,00;303,68
2019-07-25;CMBB1902▼;VN0CMBB19025; ;5,21;2,11;3,66;3,60;3,50;-0,16;-4,37;3,50;3,90;3,75;3.883,00;145,51
2019-07-25;CMWG1901▼;VN0CMWG19012; ;7,31;3,57;5,44;5,49;5,32;-0,12;-2,21;5,16;5,49;5,26;3.928,00;206,43
2019-07-25;CMWG1902▼;VN0CMWG19020; ;7,67;3,93;5,80;5,75;5,79;-0,01;-0,17;5,71;5,84;5,77;2.441,00;140,96
2019-07-25;CMWG1903▼;VN0CMWG19038; ;6,00;3,00;4,50;4,48;4,45;-0,05;-1,11;4,38;4,61;4,46;16.669,00;743,73
2019-07-25;CMWG1904▲;VN0CMWG19046; ;31,18;16,18;23,68;23,68;24,50;0,82;3,46;23,12;24,56;23,31;6.118,00;1.426,31
2019-07-25;CPNJ1901▲;VN0CPNJ19018; ;3,21;1,07;2,14;2,16;2,39;0,25;11,68;2,12;2,39;2,24;9.376,00;210,43
2019-07-25;CVNM1901▼;VN0CVNM19010; ;1,94;0,20;1,07;1,05;1,06;-0,01;-0,93;1,04;1,07;1,05;12.888,00;135,25
2019-07-24;CFPT1901;VN0CFPT19013; ;5,00;1,60;3,30;3,30;3,30;0,00;0,00;3,25;3,41;3,34;7.508,00;251,01
2019-07-24;CFPT1902;VN0CFPT19021; ;8,57;1,77;5,17;5,23;5,17;0,00;0,00;5,06;5,23;5,15;9.260,00;476,84
2019-07-24;CFPT1903▲;VN0CFPT19039; ;8,55;1,75;5,15;7,80;7,30;2,15;41,75;7,18;7,80;7,49;3.196,00;239,25
2019-07-24;CHPG1901▼;VN0CHPG19016; ;1,93;0,43;1,18;1,18;1,05;-0,13;-11,02;1,05;1,18;1,10;4.994,00;54,95
2019-07-24;CHPG1902▼;VN0CHPG19024; ;0,85;0,25;0,55;0,55;0,52;-0,03;-5,45;0,50;0,55;0,52;26.013,00;135,64
2019-07-24;CHPG1903▼;VN0CHPG19032; ;1,67;0,17;0,92;0,92;0,80;-0,12;-13,04;0,80;0,93;0,84;4.171,00;34,90
2019-07-24;CHPG1904▼;VN0CHPG19040; ;3,35;0,35;1,85;1,85;1,74;-0,11;-5,95;1,70;1,85;1,79;2.392,00;42,70
2019-07-24;CHPG1905▼;VN0CHPG19057; ;4,50;1,50;3,00;3,00;2,85;-0,15;-5,00;2,85;3,02;2,94;3.453,00;101,51
2019-07-24;CMBB1901▼;VN0CMBB19017; ;4,62;1,52;3,07;3,09;2,95;-0,12;-3,91;2,95;3,10;3,05;26.231,00;800,00
2019-07-24;CMBB1902▼;VN0CMBB19025; ;5,22;2,12;3,67;3,71;3,66;-0,01;-0,27;3,66;3,84;3,76;15.367,00;578,37
2019-07-24;CMWG1901▼;VN0CMWG19012; ;7,39;3,59;5,49;5,50;5,44;-0,05;-0,91;5,25;5,70;5,54;7.471,00;414,14
2019-07-24;CMWG1902▲;VN0CMWG19020; ;7,56;3,76;5,66;5,66;5,80;0,14;2,47;5,66;5,90;5,79;9.640,00;558,58
2019-07-24;CMWG1903▼;VN0CMWG19038; ;6,32;3,28;4,80;4,74;4,50;-0,30;-6,25;4,50;4,84;4,67;21.940,00;1.024,91
2019-07-24;CMWG1904▼;VN0CMWG19046; ;31,40;16,20;23,80;24,11;23,68;-0,12;-0,50;23,20;24,80;24,27;8.133,00;1.973,98
2019-07-24;CPNJ1901▼;VN0CPNJ19018; ;3,37;1,19;2,28;2,28;2,14;-0,14;-6,14;2,13;2,28;2,19;3.560,00;77,80
2019-07-24;CVNM1901;VN0CVNM19010; ;1,94;0,20;1,07;1,08;1,07;0,00;0,00;1,05;1,12;1,07;32.872,00;351,44
2019-07-23;CFPT1901▲;VN0CFPT19013; ;4,87;1,53;3,20;3,10;3,30;0,10;3,13;3,10;3,40;3,27;4.226,00;138,10
2019-07-23;CFPT1902▲;VN0CFPT19021; ;8,40;1,70;5,05;5,08;5,17;0,12;2,38;4,99;5,17;5,03;5.609,00;282,01
2019-07-23;CFPT1903▼;VN0CFPT19039; ;10,75;4,05;7,40;7,45;5,15;-2,25;-30,41;5,15;7,70;7,11;4.190,00;297,93
2019-07-23;CHPG1901▲;VN0CHPG19016; ;1,87;0,43;1,15;1,18;1,18;0,03;2,61;1,12;1,19;1,15;7.087,00;81,45
2019-07-23;CHPG1902;VN0CHPG19024; ;0,84;0,26;0,55;0,50;0,55;0,00;0,00;0,49;0,55;0,52;16.129,00;83,98
2019-07-23;CHPG1903▲;VN0CHPG19032; ;1,62;0,18;0,90;0,90;0,92;0,02;2,22;0,84;0,92;0,90;3.325,00;29,88
